,date,total_rides
908,02/04/2023,3786
909,02/03/2023,6806
910,02/02/2023,11577
911,02/01/2023,11445
912,01/31/2023,11239
913,01/30/2023,11648
914,01/29/2023,8111
915,01/28/2023,11255
916,01/27/2023,10402
917,01/26/2023,11167
918,01/25/2023,9653
919,01/24/2023,12197
920,01/23/2023,8128
921,01/22/2023,6241
922,01/21/2023,9576
923,01/20/2023,10171
924,01/19/2023,9424
925,01/18/2023,12545
926,01/17/2023,11148
927,01/16/2023,7891
928,01/15/2023,7958
929,01/14/2023,7503
930,01/13/2023,9839
931,01/12/2023,10566
932,01/11/2023,11609
933,01/10/2023,11574
934,01/09/2023,9158
935,01/08/2023,7679
936,01/07/2023,9298
937,01/06/2023,9799
938,01/05/2023,11720
939,01/04/2023,12797
940,01/03/2023,10027
941,01/02/2023,11900
942,01/01/2023,10720
943,12/31/2022,5543
944,12/30/2022,16966
945,12/29/2022,13803
946,12/28/2022,12355
947,12/27/2022,9230
948,12/26/2022,5532
949,12/25/2022,2157
950,12/24/2022,1574
951,12/23/2022,3941
952,12/22/2022,7815
953,12/21/2022,10937
954,12/20/2022,10717
955,12/19/2022,9629
956,12/18/2022,7073
957,12/17/2022,9688
958,12/16/2022,6508
959,12/15/2022,9717
960,12/14/2022,11871
961,12/13/2022,11754
962,12/12/2022,10594
963,12/11/2022,4772
964,12/10/2022,9999
965,12/09/2022,11743
966,12/08/2022,14492
967,12/07/2022,11784
968,12/06/2022,11404
969,12/05/2022,12099
970,12/04/2022,10531
971,12/03/2022,6310
972,12/02/2022,12281
973,12/01/2022,12528
974,11/30/2022,9807
975,11/29/2022,12281
976,11/28/2022,10985
977,11/27/2022,4169
978,11/26/2022,14716
979,11/25/2022,6008
980,11/24/2022,5896
981,11/23/2022,12157
982,11/22/2022,12831
983,11/21/2022,9936
984,11/20/2022,7301
985,11/19/2022,10174
986,11/18/2022,11576
987,11/17/2022,12886
988,11/16/2022,12492
989,11/15/2022,11940
990,11/14/2022,12042
991,11/13/2022,9287
992,11/12/2022,21275
993,11/11/2022,8051
994,11/10/2022,15895
995,11/09/2022,14148
996,11/08/2022,14974
997,11/07/2022,17956
998,11/06/2022,23624
999,11/05/2022,30337
1000,11/04/2022,17772
1001,11/03/2022,17299
1002,11/02/2022,18385
1003,11/01/2022,15401
1004,10/31/2022,13119
1005,10/30/2022,22071
1006,10/29/2022,24400
1007,10/28/2022,14319
1008,10/27/2022,18416
1009,10/26/2022,15851
1010,10/25/2022,15368
1011,10/24/2022,11041
1012,10/23/2022,12058
1013,10/22/2022,29770
1014,10/21/2022,16795
1015,10/20/2022,16105
1016,10/19/2022,15444
1017,10/18/2022,15463
1018,10/17/2022,12191
1019,10/16/2022,20651
1020,10/15/2022,29200
1021,10/14/2022,18915
1022,10/13/2022,13366
1023,10/12/2022,28545
1024,10/11/2022,18530
1025,10/10/2022,19175
1026,10/09/2022,23717
1027,10/08/2022,24513
1028,10/07/2022,22229
1029,10/06/2022,21480
1030,10/05/2022,13254
1031,10/04/2022,11765
1032,10/03/2022,10193
1033,10/02/2022,5468
1034,10/01/2022,8757
1035,09/30/2022,15676
1036,09/29/2022,17374
1037,09/28/2022,17830
1038,09/27/2022,19043
1039,09/26/2022,18686
1040,09/25/2022,18053
1041,09/24/2022,28737
1042,09/23/2022,17851
1043,09/22/2022,12835
1044,09/21/2022,16805
1045,09/20/2022,18724
1046,09/19/2022,15779
1047,09/18/2022,29766
1048,09/17/2022,34442
1049,09/16/2022,21682
1050,09/15/2022,19885
1051,09/14/2022,20968
1052,09/13/2022,17219
1053,09/12/2022,16278
1054,09/11/2022,12475
1055,09/10/2022,38803
1056,09/09/2022,21693
1057,09/08/2022,20435
1058,09/07/2022,15676
1059,09/06/2022,9791
1060,09/05/2022,25010
1061,09/04/2022,39992
1062,09/03/2022,42618
1063,09/02/2022,27584
1064,09/01/2022,24099
1065,08/31/2022,23167
1066,08/30/2022,22216
1067,08/29/2022,21117
1068,08/28/2022,30724
1069,08/27/2022,40452
1070,08/26/2022,20199
1071,08/25/2022,22663
1072,08/24/2022,25988
1073,08/23/2022,21269
1074,08/22/2022,12876
1075,08/21/2022,35178
1076,08/20/2022,43402
1077,08/19/2022,27544
1078,08/18/2022,25112
1079,08/17/2022,21423
1080,08/16/2022,23939
1081,08/15/2022,22186
1082,08/14/2022,40371
1083,08/13/2022,45213
1084,08/12/2022,27982
1085,08/11/2022,21840
1086,08/10/2022,23103
1087,08/09/2022,19805
1088,08/08/2022,20198
1089,08/07/2022,27026
1090,08/06/2022,36496
1091,08/05/2022,21108
1092,08/04/2022,23557
1093,08/03/2022,23578
1094,08/02/2022,23990
1095,08/01/2022,14933
1096,07/31/2022,36597
1097,07/30/2022,44816
1098,07/29/2022,21855
1099,07/28/2022,20390
1100,07/27/2022,25865
1101,07/26/2022,24766
1102,07/25/2022,14356
1103,07/24/2022,31390
1104,07/23/2022,38959
1105,07/22/2022,24428
1106,07/21/2022,19176
1107,07/20/2022,21964
1108,07/19/2022,23957
1109,07/18/2022,12758
1110,07/17/2022,35463
1111,07/16/2022,37730
1112,07/15/2022,26814
1113,07/14/2022,23375
1114,07/13/2022,24365
1115,07/12/2022,21522
1116,07/11/2022,23004
1117,07/10/2022,42497
1118,07/09/2022,40183
1119,07/08/2022,20114
1120,07/07/2022,21765
1121,07/06/2022,23046
1122,07/05/2022,17147
1123,07/04/2022,26784
1124,07/03/2022,45126
1125,07/02/2022,27543
1126,07/01/2022,26748
1127,06/30/2022,25906
1128,06/29/2022,25601
1129,06/28/2022,25480
1130,06/27/2022,11831
1131,06/26/2022,36147
1132,06/25/2022,40492
1133,06/24/2022,24587
1134,06/23/2022,18751
1135,06/22/2022,13420
1136,06/21/2022,17911
1137,06/20/2022,33504
1138,06/19/2022,34850
1139,06/18/2022,28669
1140,06/17/2022,24976
1141,06/16/2022,16069
1142,06/15/2022,22713
1143,06/14/2022,21849
1144,06/13/2022,20724
1145,06/12/2022,16310
1146,06/11/2022,29416
1147,06/10/2022,25100
1148,06/09/2022,21039
1149,06/08/2022,21344
