,date,total_rides
835,04/18/2023,715808
836,04/17/2023,612203
837,04/16/2023,402724
838,04/15/2023,499247
839,04/14/2023,712266
840,04/13/2023,776945
841,04/12/2023,765192
842,04/11/2023,744575
843,04/10/2023,640499
844,04/09/2023,343332
845,04/08/2023,488099
846,04/07/2023,663882
847,04/06/2023,713347
848,04/05/2023,778279
849,04/04/2023,790585
850,04/03/2023,711404
851,04/02/2023,439334
852,04/01/2023,496756
853,03/31/2023,686707
854,03/30/2023,765479
855,03/29/2023,769631
856,03/28/2023,769567
857,03/27/2023,690376
858,03/26/2023,524855
859,03/25/2023,454647
860,03/24/2023,624650
861,03/23/2023,749100
862,03/22/2023,753395
863,03/21/2023,733091
864,03/20/2023,641523
865,03/19/2023,334116
866,03/18/2023,475242
867,03/17/2023,665197
868,03/16/2023,722330
869,03/15/2023,712905
870,03/14/2023,698605
871,03/13/2023,625457
872,03/12/2023,310819
873,03/11/2023,424286
874,03/10/2023,568348
875,03/09/2023,684053
876,03/08/2023,704987
877,03/07/2023,692799
878,03/06/2023,636096
879,03/05/2023,340829
880,03/04/2023,414506
881,03/03/2023,588279
882,03/02/2023,675892
883,03/01/2023,707109
884,02/28/2023,694707
885,02/27/2023,606668
886,02/26/2023,306013
887,02/25/2023,352990
888,02/24/2023,589011
889,02/23/2023,674866
890,02/22/2023,630821
891,02/21/2023,644350
892,02/20/2023,397784
893,02/19/2023,343806
894,02/18/2023,411909
895,02/17/2023,561015
896,02/16/2023,651603
897,02/15/2023,685367
898,02/14/2023,695571
899,02/13/2023,621962
900,02/12/2023,253476
901,02/11/2023,394571
902,02/10/2023,617447
903,02/09/2023,673758
904,02/08/2023,702807
905,02/07/2023,683552
906,02/06/2023,615977
907,02/05/2023,289620
908,02/04/2023,333117
909,02/03/2023,569294
910,02/02/2023,655390
911,02/01/2023,632885
912,01/31/2023,620298
913,01/30/2023,589672
914,01/29/2023,281407
915,01/28/2023,402613
916,01/27/2023,588918
917,01/26/2023,653345
918,01/25/2023,574368
919,01/24/2023,655072
920,01/23/2023,571443
921,01/22/2023,275003
922,01/21/2023,385586
923,01/20/2023,613867
924,01/19/2023,618204
925,01/18/2023,655396
926,01/17/2023,631323
927,01/16/2023,347685
928,01/15/2023,293081
929,01/14/2023,343024
930,01/13/2023,561700
931,01/12/2023,605661
932,01/11/2023,634476
933,01/10/2023,627610
934,01/09/2023,574507
935,01/08/2023,274748
936,01/07/2023,347314
937,01/06/2023,548426
938,01/05/2023,585887
939,01/04/2023,576112
940,01/03/2023,571879
941,01/02/2023,303522
942,01/01/2023,236134
943,12/31/2022,263442
944,12/30/2022,444013
945,12/29/2022,443060
946,12/28/2022,424249
947,12/27/2022,399202
948,12/26/2022,241714
949,12/25/2022,110201
950,12/24/2022,178450
951,12/23/2022,324294
952,12/22/2022,396393
953,12/21/2022,521189
954,12/20/2022,534776
955,12/19/2022,517803
956,12/18/2022,274285
957,12/17/2022,401240
958,12/16/2022,563579
959,12/15/2022,472385
960,12/14/2022,604242
961,12/13/2022,616285
962,12/12/2022,548999
963,12/11/2022,274535
964,12/10/2022,381030
965,12/09/2022,586696
966,12/08/2022,628746
967,12/07/2022,625145
968,12/06/2022,599014
969,12/05/2022,562756
970,12/04/2022,290282
971,12/03/2022,372675
972,12/02/2022,570283
973,12/01/2022,610912
974,11/30/2022,579651
975,11/29/2022,608575
976,11/28/2022,543311
977,11/27/2022,227748
