"service_date","day_type","bus","rail_boardings","total_rides"
"05/14/2021","W","353,950","222,830","576,780"
"05/15/2021","A","234,951","166,559","401,510"
"05/16/2021","U","195,939","137,410","333,349"
"05/17/2021","W","333,150","190,203","523,353"
"05/18/2021","W","338,267","195,305","533,572"
"05/19/2021","W","331,674","198,718","530,392"
"05/20/2021","W","350,455","215,181","565,636"
"05/21/2021","W","353,721","226,276","579,997"
"05/22/2021","A","265,066","188,124","453,190"
"05/23/2021","U","184,730","129,720","314,450"
"05/24/2021","W","338,290","196,524","534,814"
"05/25/2021","W","345,371","205,679","551,050"
"05/26/2021","W","349,319","208,470","557,789"
"05/27/2021","W","334,991","208,682","543,673"
"05/28/2021","W","313,635","217,115","530,750"
"05/29/2021","A","266,944","208,819","475,763"
"05/30/2021","U","209,937","177,745","387,682"
"05/31/2021","U","194,901","147,880","342,781"
"06/01/2021","W","349,451","221,402","570,853"
"06/02/2021","W","356,620","222,827","579,447"
"06/03/2021","W","382,161","231,398","613,559"
"06/04/2021","W","374,475","244,454","618,929"
"06/05/2021","A","278,036","199,123","477,159"
"06/06/2021","U","204,309","148,509","352,818"
"06/07/2021","W","343,982","202,767","546,749"
"06/08/2021","W","366,854","222,841","589,695"
"06/09/2021","W","367,755","231,622","599,377"
"06/10/2021","W","374,697","246,542","621,239"
"06/11/2021","W","375,533","271,425","646,958"
"06/12/2021","A","265,224","224,185","489,409"
"06/13/2021","U","219,260","184,714","403,974"
"06/14/2021","W","362,267","227,377","589,644"
"06/15/2021","W","372,531","238,872","611,403"
"06/16/2021","W","374,362","242,785","617,147"
"06/17/2021","W","372,186","247,900","620,086"
"06/18/2021","W","362,823","272,803","635,626"
"06/19/2021","A","276,925","238,075","515,000"
"06/20/2021","U","194,025","158,875","352,900"
"06/21/2021","W","349,781","237,699","587,480"
"06/22/2021","W","376,511","256,084","632,595"
"06/23/2021","W","362,682","239,858","602,540"
"06/24/2021","W","345,186","240,440","585,626"
"06/25/2021","W","343,853","251,904","595,757"
"06/26/2021","A","232,678","190,791","423,469"
"06/27/2021","U","219,887","176,898","396,785"
"06/28/2021","W","337,566","218,776","556,342"
"06/29/2021","W","346,254","229,881","576,135"
"06/30/2021","W","356,837","237,763","594,600"
"07/01/2021","W","397,781","257,789","655,570"
"07/02/2021","W","389,185","254,956","644,141"
"07/03/2021","A","292,341","215,230","507,571"
"07/04/2021","U","214,496","167,760","382,256"
"07/05/2021","U","237,811","178,415","416,226"
"07/06/2021","W","378,230","255,296","633,526"
"07/07/2021","W","371,601","261,796","633,397"
"07/08/2021","W","375,578","276,819","652,397"
"07/09/2021","W","389,894","302,893","692,787"
"07/10/2021","A","275,612","238,903","514,515"
"07/11/2021","U","189,913","165,360","355,273"
"07/12/2021","W","363,268","237,710","600,978"
"07/13/2021","W","375,230","250,575","625,805"
"07/14/2021","W","396,163","262,113","658,276"
"07/15/2021","W","374,072","261,351","635,423"
"07/16/2021","W","379,552","280,527","660,079"
"07/17/2021","A","296,714","245,066","541,780"
"07/18/2021","U","226,558","191,007","417,565"
"07/19/2021","W","377,772","248,181","625,953"
"07/20/2021","W","390,578","264,471","655,049"
"07/21/2021","W","392,548","274,123","666,671"
"07/22/2021","W","390,531","275,892","666,423"
"07/23/2021","W","386,289","298,869","685,158"
"07/24/2021","A","280,927","250,014","530,941"
"07/25/2021","U","221,645","198,799","420,444"
"07/26/2021","W","373,206","260,296","633,502"
"07/27/2021","W","387,327","279,049","666,376"
"07/28/2021","W","390,425","298,392","688,817"
"07/29/2021","W","394,751","362,106","756,857"
"07/30/2021","W","402,364","362,949","765,313"
"07/31/2021","A","292,772","310,759","603,531"
"08/01/2021","U","223,161","244,404","467,565"
"08/02/2021","W","374,987","259,408","634,395"
"08/03/2021","W","407,869","267,547","675,416"
"08/04/2021","W","401,665","271,469","673,134"
"08/05/2021","W","401,248","283,716","684,964"
"08/06/2021","W","387,894","313,936","701,830"
"08/07/2021","A","301,542","275,050","576,592"
"08/08/2021","U","223,653","187,344","410,997"
"08/09/2021","W","334,547","240,520","575,067"
"08/10/2021","W","372,961","264,354","637,315"
"08/11/2021","W","364,185","258,741","622,926"
"08/12/2021","W","381,061","280,760","661,821"
"08/13/2021","W","396,567","277,082","673,649"
"08/14/2021","A","294,345","252,710","547,055"
"08/15/2021","U","221,156","205,673","426,829"
"08/16/2021","W","371,748","246,824","618,572"
"08/17/2021","W","385,106","259,308","644,414"
"08/18/2021","W","387,316","265,679","652,995"
"08/19/2021","W","390,171","274,749","664,920"
"08/20/2021","W","399,149","298,535","697,684"
"08/21/2021","A","282,205","248,705","530,910"
"08/22/2021","U","231,270","202,393","433,663"
"08/23/2021","W","389,873","263,283","653,156"
"08/24/2021","W","382,748","259,641","642,389"
"08/25/2021","W","398,464","278,830","677,294"
"08/26/2021","W","417,416","287,640","705,056"
"08/27/2021","W","411,406","302,286","713,692"
"08/28/2021","A","290,939","232,278","523,217"
"08/29/2021","U","215,493","180,030","395,523"
"08/30/2021","W","452,128","283,312","735,440"
"08/31/2021","W","457,408","294,988","752,396"
"09/01/2021","W","483,883","302,972","786,855"
"09/02/2021","W","466,988","316,474","783,462"
"09/03/2021","W","460,822","332,962","793,784"
"09/04/2021","A","288,744","249,857","538,601"
"09/05/2021","U","238,982","232,104","471,086"
"09/06/2021","U","231,171","190,360","421,531"
"09/07/2021","W","445,989","291,803","737,792"
"09/08/2021","W","480,111","320,091","800,202"
"09/09/2021","W","471,953","326,271","798,224"
"09/10/2021","W","469,400","355,788","825,188"
"09/11/2021","A","292,316","276,714","569,030"
"09/12/2021","U","216,327","206,582","422,909"
"09/13/2021","W","450,527","296,554","747,081"
"09/14/2021","W","468,812","311,965","780,777"
"09/15/2021","W","472,623","329,295","801,918"
"09/16/2021","W","467,659","365,090","832,749"
"09/17/2021","W","469,512","377,373","846,885"
"09/18/2021","A","297,188","295,961","593,149"
"09/19/2021","U","221,743","220,835","442,578"
"09/20/2021","W","443,252","298,947","742,199"
"09/21/2021","W","452,211","319,330","771,541"
"09/22/2021","W","450,883","322,522","773,405"
"09/23/2021","W","464,140","327,671","791,811"
"09/24/2021","W","463,710","365,392","829,102"
"09/25/2021","A","300,821","296,621","597,442"
"09/26/2021","U","214,958","195,380","410,338"
"09/27/2021","W","458,134","298,532","756,666"
"09/28/2021","W","474,767","315,354","790,121"
"09/29/2021","W","471,319","323,001","794,320"
"09/30/2021","W","469,820","326,450","796,270"
"10/01/2021","W","486,451","343,048","829,499"
"10/02/2021","A","283,289","248,678","531,967"
"10/03/2021","U","209,009","188,875","397,884"
"10/04/2021","W","453,108","297,717","750,825"
"10/05/2021","W","469,691","317,319","787,010"
"10/06/2021","W","474,666","317,494","792,160"
"10/07/2021","W","447,936","323,569","771,505"
"10/08/2021","W","461,163","348,740","809,903"
"10/09/2021","A","301,635","281,790","583,425"
"10/10/2021","U","194,232","312,750","506,982"
"10/11/2021","W","335,704","269,043","604,747"
"10/12/2021","W","469,702","337,547","807,249"
"10/13/2021","W","456,836","323,735","780,571"
"10/14/2021","W","466,987","336,464","803,451"
"10/15/2021","W","456,194","338,278","794,472"
"10/16/2021","A","301,890","266,017","567,907"
"10/17/2021","U","219,929","196,386","416,315"
"10/18/2021","W","447,658","303,246","750,904"
"10/19/2021","W","467,179","323,286","790,465"
"10/20/2021","W","470,815","323,794","794,609"
"10/21/2021","W","449,160","330,258","779,418"
"10/22/2021","W","446,072","328,904","774,976"
