Date,Boardings
08/24/2022,25988
08/23/2022,21269
08/22/2022,12876
08/21/2022,35178
08/20/2022,43402
08/19/2022,27544
08/18/2022,25112
08/17/2022,21423
08/16/2022,23939
08/15/2022,22186
08/14/2022,40371
08/13/2022,45213
08/12/2022,27982
08/11/2022,21840
08/10/2022,23103
08/09/2022,19805
08/08/2022,20198
08/07/2022,27026
08/06/2022,36496
08/05/2022,21108
08/04/2022,23557
08/03/2022,23578
08/02/2022,23990
08/01/2022,14933
07/31/2022,36597
07/30/2022,44816
07/29/2022,21855
07/28/2022,20390
07/27/2022,25865
07/26/2022,24766
07/25/2022,14356
07/24/2022,31390
07/23/2022,38959
07/22/2022,24428
07/21/2022,19176
07/20/2022,21964
07/19/2022,23957
07/18/2022,12758
07/17/2022,35463
07/16/2022,37730
07/15/2022,26814
07/14/2022,23375
07/13/2022,24365
07/12/2022,21522
07/11/2022,23004
07/10/2022,42497
07/09/2022,40183
07/08/2022,20114
07/07/2022,21765
07/06/2022,23046
07/05/2022,17147
07/04/2022,26784
07/03/2022,45126
07/02/2022,27543
07/01/2022,26748
06/30/2022,25906
06/29/2022,25601
06/28/2022,25480
06/27/2022,11831
06/26/2022,36147
06/25/2022,40492
06/24/2022,24587
06/23/2022,18751
06/22/2022,13420
06/21/2022,17911
06/20/2022,33504
06/19/2022,34850
06/18/2022,28669
06/17/2022,24976
06/16/2022,16069
06/15/2022,22713
06/14/2022,21849
06/13/2022,20724
06/12/2022,16310
06/11/2022,29416
06/10/2022,25100
06/09/2022,21039
06/08/2022,21344
06/07/2022,21340
06/06/2022,21025
06/05/2022,34511
06/04/2022,41056
06/03/2022,19676
06/02/2022,14902
06/01/2022,15514
05/31/2022,20155
05/30/2022,43365
05/29/2022,45001
05/28/2022,20940
05/27/2022,14831
05/26/2022,18896
05/25/2022,19189
05/24/2022,17076
05/23/2022,18841
05/22/2022,28935
05/21/2022,35537
05/20/2022,15729
05/19/2022,14906
05/18/2022,19872
05/17/2022,20426
05/16/2022,9954
05/15/2022,26937
05/14/2022,17207
05/13/2022,13649
05/12/2022,17070
05/11/2022,16704
05/10/2022,16708
05/09/2022,14902
05/08/2022,12022
05/07/2022,3784
05/06/2022,9019
05/05/2022,19617
05/04/2022,12558
05/03/2022,15855
05/02/2022,9760
05/01/2022,28164
04/30/2022,28436
04/29/2022,15592
04/28/2022,13167
04/27/2022,13753
04/26/2022,12260
04/25/2022,11839
04/24/2022,20664
04/23/2022,22468
04/22/2022,24700
04/21/2022,18115
04/20/2022,28966
04/19/2022,13941
04/18/2022,14029
04/17/2022,15018
04/16/2022,23111
04/15/2022,23248
04/14/2022,17942
04/13/2022,19098
04/12/2022,17943
04/11/2022,14443
04/10/2022,12571
04/09/2022,15806
04/08/2022,15895
04/07/2022,7964
04/06/2022,8858
04/05/2022,12357
04/04/2022,12430
04/03/2022,4625
04/02/2022,15195
04/01/2022,10943
03/31/2022,11181
03/30/2022,10380
03/29/2022,9773
03/28/2022,7622
03/27/2022,8039
03/26/2022,11131
03/25/2022,13218
03/24/2022,8221
03/23/2022,10338
03/22/2022,12871
03/21/2022,12722
03/20/2022,12652
03/19/2022,13666
03/18/2022,20926
03/17/2022,9650
03/16/2022,14870
03/15/2022,14218
03/14/2022,11579
03/13/2022,6103
03/12/2022,2596
03/11/2022,12306
03/10/2022,11341
03/09/2022,7931
03/08/2022,11580
03/07/2022,11264
03/06/2022,9214
03/05/2022,9620
03/04/2022,9043
03/03/2022,10284
03/02/2022,11190
03/01/2022,9647
02/28/2022,8534
02/27/2022,8127
02/26/2022,8972
02/25/2022,6008
02/24/2022,8469
02/23/2022,14378
02/22/2022,7780
02/21/2022,11508
02/20/2022,6341
02/19/2022,5815
02/18/2022,8171
02/17/2022,11299
02/16/2022,9290
02/15/2022,8287
02/14/2022,7215
02/13/2022,2962
02/12/2022,15960
02/11/2022,10077
02/10/2022,9797
02/09/2022,9219
02/08/2022,9081
02/07/2022,6928
02/06/2022,3297
02/05/2022,3757
02/04/2022,5703
02/03/2022,7127
02/02/2022,8400
02/01/2022,7782
01/31/2022,6496
01/30/2022,3083
01/29/2022,0
01/28/2022,6551
01/27/2022,7168
01/26/2022,6955
01/25/2022,8075
01/24/2022,6846
01/23/2022,4592
01/22/2022,4731
01/21/2022,5960
01/20/2022,6299
01/19/2022,8006
01/18/2022,6894
01/17/2022,3269
01/16/2022,3382
01/15/2022,2893
01/14/2022,6945
01/13/2022,7661
01/12/2022,6704
01/11/2022,5130
01/10/2022,6268
01/09/2022,2831
01/08/2022,4828
01/07/2022,4774
01/06/2022,7147
01/05/2022,5786
01/04/2022,6578
01/03/2022,5548
01/02/2022,9004
01/01/2022,2812
12/31/2021,9425
12/30/2021,10046
12/29/2021,8127
12/28/2021,10178
12/27/2021,7083
12/26/2021,9809
12/25/2021,2330
12/24/2021,4923
12/23/2021,6781
12/22/2021,7888
12/21/2021,8866
12/20/2021,8380
12/19/2021,6527
12/18/2021,4920
12/17/2021,11101
12/16/2021,10831
12/15/2021,10233
12/14/2021,10929
12/13/2021,10071
12/12/2021,8075
12/11/2021,8294
12/10/2021,10689
12/09/2021,10465
12/08/2021,10038
12/07/2021,10440
12/06/2021,10607
12/05/2021,8704
12/04/2021,9903
12/03/2021,10809
12/02/2021,11426
12/01/2021,10865
11/30/2021,9738
11/29/2021,9311
11/28/2021,5030
11/27/2021,7193
11/26/2021,5875
11/25/2021,4707
11/24/2021,9667
11/23/2021,10427
11/22/2021,9740
11/21/2021,12374
11/20/2021,13697
11/19/2021,11413
11/18/2021,14975
11/17/2021,12327
11/16/2021,12017
11/15/2021,9643
11/14/2021,11753
11/13/2021,12267
11/12/2021,9673
11/11/2021,15039
11/10/2021,14195
11/09/2021,14768
11/08/2021,12361
11/07/2021,15073
11/06/2021,17632
11/05/2021,12327
11/04/2021,11780
11/03/2021,12044
11/02/2021,10672
11/01/2021,12284
10/31/2021,14839
10/30/2021,12232
10/29/2021,9932
10/28/2021,13678
10/27/2021,11440
10/26/2021,6852
10/25/2021,12574
10/24/2021,17825
10/23/2021,22231
10/22/2021,16683
10/21/2021,17141
10/20/2021,15866
10/19/2021,12847
10/18/2021,11237
10/17/2021,20404
10/16/2021,23042
10/15/2021,19049
10/14/2021,16923
10/13/2021,13745
10/12/2021,14154
10/11/2021,15754
10/10/2021,9751
10/09/2021,23796
10/08/2021,17784
10/07/2021,15434
10/06/2021,13569
